Created as New Dataset,
nm,A
2500.0,0.5702
2490.0,0.6586
2480.0,0.6704
2470.0,1.1123
2460.0,1.0434
2450.0,1.1389
2440.0,1.1424
2430.0,1.4228
2420.0,1.3394
2410.0,1.7407
2400.0,1.3982
2390.0,1.5413
2380.0,1.5763
2370.0,1.6937
2360.0,1.5793
2350.0,1.5097
2340.0,1.5555
2330.0,1.7836
2320.0,1.6619
2310.0,1.8642
2300.0,1.8184
2290.0,1.7101
2280.0,1.8375
2270.0,1.9044
2260.0,1.9656
2250.0,1.8778
2240.0,2.1431
2230.0,2.0349
2220.0,2.0215
2210.0,1.9868
2200.0,2.0062
2190.0,2.4442
2180.0,1.9275
2170.0,2.0790
2160.0,1.9795
2150.0,1.9030
2140.0,2.1221
2130.0,1.9659
2120.0,2.1250
2110.0,2.0529
2100.0,2.3544
2090.0,2.1186
2080.0,2.2680
2070.0,2.2529
2060.0,2.3405
2050.0,2.3639
2040.0,2.5206
2030.0,2.2849
2020.0,2.3940
2010.0,2.3619
2000.0,2.4431
1990.0,2.4176
1980.0,2.4458
1970.0,2.3993
1960.0,2.4052
1950.0,2.4136
1940.0,2.3047
1930.0,2.4333
1920.0,2.2169
1910.0,2.1780
1900.0,2.2227
1890.0,2.4178
1880.0,2.4904
1870.0,2.3652
1860.0,2.3366
1850.0,2.3639
1840.0,2.5398
1830.0,2.8123
1820.0,2.8415
1810.0,2.6832
1800.0,2.6427
1790.0,2.7874
1780.0,2.6074
1770.0,2.7473
1760.0,2.7166
1750.0,2.8172
1740.0,2.6658
1730.0,2.6378
1720.0,2.7749
1710.0,2.8863
1700.0,2.8208
1690.0,2.8973
1680.0,2.6285
1670.0,2.7445
1660.0,2.8877
1650.0,2.8573
1640.0,2.8081
1630.0,3.0104
1620.0,2.9816
1610.0,2.7936
1600.0,2.9036
1590.0,2.9251
1580.0,2.9020
1570.0,3.0643
1560.0,3.1469
1550.0,2.9479
1540.0,2.9616
1530.0,2.8973
1520.0,2.9899
1510.0,3.1186
1500.0,3.0692
1490.0,3.0885
1480.0,2.9492
1470.0,3.0484
1460.0,2.9804
1450.0,3.1277
1440.0,3.0265
1430.0,3.0170
1420.0,3.1393
1410.0,2.9758
1400.0,2.9454
1390.0,2.9154
1380.0,2.8918
1370.0,2.8538
1360.0,2.9198
1350.0,2.9312
1340.0,3.0510
1330.0,3.2476
1320.0,3.2219
1310.0,3.1183
1300.0,3.0742
1290.0,3.1298
1280.0,3.1059
1270.0,3.1060
1260.0,3.1176
1250.0,3.0841
1240.0,3.0894
1230.0,3.0825
1220.0,3.1189
1210.0,3.2447
1200.0,3.0807
1190.0,3.0509
1180.0,3.0965
1170.0,3.1384
1160.0,3.1236
1150.0,3.0540
1140.0,3.0656
1130.0,3.1902
1120.0,3.0908
1110.0,3.0610
1100.0,2.9131
1090.0,2.9093
1080.0,2.9650
1070.0,2.9373
1060.0,3.0296
1050.0,2.9575
1040.0,2.8715
1030.0,2.8539
1020.0,2.9132
1010.0,2.9218
1000.0,2.6761
990.0,2.7387
980.0,2.8230
970.0,2.6678
960.0,2.5559
950.0,2.5389
940.0,2.4742
930.0,2.3491
920.0,2.3187
910.0,2.2644
900.0,2.2213
890.0,2.0745
880.0,1.9894
870.0,1.9507
860.0,2.1752
850.0,10.0000
840.0,10.0000
830.0,10.0000
820.0,10.0000
810.0,10.0000
800.0,10.0000
790.0,10.0000
780.0,10.0000
770.0,10.0000
760.0,10.0000
750.0,10.0000
740.0,10.0000
730.0,10.0000
720.0,10.0000
710.0,10.0000
700.0,10.0000
690.0,10.0000
680.0,10.0000
670.0,10.0000
660.0,10.0000
650.0,10.0000
640.0,10.0000
630.0,10.0000
620.0,10.0000
610.0,10.0000
600.0,10.0000
590.0,10.0000
580.0,10.0000
570.0,10.0000
560.0,10.0000
550.0,10.0000
540.0,10.0000
530.0,10.0000
520.0,10.0000
510.0,10.0000
500.0,10.0000
490.0,10.0000
480.0,10.0000
470.0,10.0000
460.0,10.0000
450.0,10.0000
440.0,10.0000
430.0,10.0000
420.0,10.0000
410.0,10.0000
400.0,10.0000
390.0,5.2683
380.0,10.0000
370.0,10.0000
360.0,10.0000
350.0,4.6541
340.0,4.1932
330.0,4.0804
320.0,4.8219
310.0,10.0000
300.0,10.0000
290.0,10.0000
280.0,10.0000
270.0,10.0000
260.0,10.0000
250.0,10.0000
