Created as New Dataset,
nm,A
2500.0,0.5314
2490.0,0.6722
2480.0,0.8827
2470.0,0.8229
2460.0,0.9649
2450.0,1.1629
2440.0,1.2842
2430.0,1.3329
2420.0,1.3569
2410.0,1.4072
2400.0,1.4085
2390.0,1.4303
2380.0,1.4676
2370.0,1.5273
2360.0,1.4953
2350.0,1.5817
2340.0,1.6273
2330.0,1.6635
2320.0,1.7101
2310.0,1.7291
2300.0,1.7607
2290.0,1.7823
2280.0,1.8173
2270.0,1.8281
2260.0,1.8030
2250.0,1.8431
2240.0,1.8558
2230.0,1.8718
2220.0,1.9044
2210.0,1.8906
2200.0,1.9101
2190.0,1.8769
2180.0,1.9004
2170.0,1.8860
2160.0,1.8919
2150.0,1.8661
2140.0,1.8585
2130.0,1.8694
2120.0,1.9923
2110.0,1.8907
2100.0,1.9655
2090.0,2.0054
2080.0,2.0513
2070.0,2.0634
2060.0,2.0452
2050.0,2.0839
2040.0,2.1240
2030.0,2.1670
2020.0,2.1370
2010.0,2.1975
2000.0,2.2110
1990.0,2.2455
1980.0,2.2258
1970.0,2.1967
1960.0,2.2396
1950.0,2.1966
1940.0,2.1323
1930.0,2.1282
1920.0,2.1436
1910.0,2.1725
1900.0,2.1654
1890.0,2.2785
1880.0,2.2096
1870.0,2.1544
1860.0,2.3043
1850.0,2.3134
1840.0,2.3478
1830.0,2.3376
1820.0,2.4125
1810.0,2.4156
1800.0,2.4741
1790.0,2.4643
1780.0,2.4608
1770.0,2.5087
1760.0,2.4748
1750.0,2.5297
1740.0,2.5026
1730.0,2.5227
1720.0,2.5163
1710.0,2.5606
1700.0,2.5565
1690.0,2.5614
1680.0,2.5763
1670.0,2.6014
1660.0,2.6090
1650.0,2.5877
1640.0,2.6251
1630.0,2.6023
1620.0,2.6015
1610.0,2.6441
1600.0,2.6546
1590.0,2.6688
1580.0,2.6826
1570.0,2.7015
1560.0,2.6781
1550.0,2.6895
1540.0,2.6867
1530.0,2.7001
1520.0,2.7271
1510.0,2.7438
1500.0,2.7166
1490.0,2.7371
1480.0,2.7494
1470.0,2.7571
1460.0,2.7437
1450.0,2.7762
1440.0,2.8142
1430.0,2.7848
1420.0,2.8039
1410.0,2.8141
1400.0,2.7871
1390.0,2.8015
1380.0,2.7577
1370.0,2.7725
1360.0,2.7772
1350.0,2.8359
1340.0,2.8748
1330.0,2.8827
1320.0,2.9208
1310.0,2.9277
1300.0,2.9317
1290.0,2.9758
1280.0,2.9378
1270.0,2.9369
1260.0,2.9574
1250.0,2.9923
1240.0,2.9784
1230.0,2.9348
1220.0,2.9694
1210.0,2.9948
1200.0,2.9813
1190.0,2.9550
1180.0,2.9492
1170.0,2.9517
1160.0,2.9499
1150.0,2.9694
1140.0,2.9173
1130.0,2.9492
1120.0,2.9415
1110.0,2.9110
1100.0,2.8916
1090.0,2.9303
1080.0,2.9567
1070.0,2.9063
1060.0,2.8621
1050.0,2.8645
1040.0,2.8886
1030.0,2.9077
1020.0,2.8308
1010.0,2.7919
1000.0,2.7484
990.0,2.7352
980.0,2.7115
970.0,2.6239
960.0,2.5811
950.0,2.5220
940.0,2.4665
930.0,2.4287
920.0,2.3748
910.0,2.2425
900.0,2.1605
890.0,2.0475
880.0,1.9366
870.0,1.8774
860.0,2.1306
850.0,10.0000
840.0,10.0000
830.0,10.0000
820.0,10.0000
810.0,10.0000
800.0,10.0000
790.0,10.0000
780.0,10.0000
770.0,10.0000
760.0,10.0000
750.0,10.0000
740.0,10.0000
730.0,10.0000
720.0,10.0000
710.0,10.0000
700.0,10.0000
690.0,10.0000
680.0,10.0000
670.0,10.0000
660.0,10.0000
650.0,10.0000
640.0,10.0000
630.0,10.0000
620.0,10.0000
610.0,10.0000
600.0,10.0000
590.0,10.0000
580.0,10.0000
570.0,10.0000
560.0,10.0000
550.0,10.0000
540.0,10.0000
530.0,10.0000
520.0,10.0000
510.0,10.0000
500.0,10.0000
490.0,10.0000
480.0,10.0000
470.0,10.0000
460.0,10.0000
450.0,10.0000
440.0,10.0000
430.0,10.0000
420.0,10.0000
410.0,10.0000
400.0,5.4453
390.0,4.8423
380.0,10.0000
370.0,10.0000
360.0,10.0000
350.0,4.4433
340.0,3.9565
330.0,3.9963
320.0,5.1229
310.0,10.0000
300.0,10.0000
290.0,10.0000
280.0,10.0000
270.0,10.0000
260.0,10.0000
250.0,10.0000
