Created as New Dataset,
nm,A
2500.0,0.5248
2490.0,0.6411
2480.0,0.8188
2470.0,0.9424
2460.0,1.0598
2450.0,1.0855
2440.0,1.3580
2430.0,1.3142
2420.0,1.3271
2410.0,1.4560
2400.0,1.5084
2390.0,1.5098
2380.0,1.5555
2370.0,1.5034
2360.0,1.6173
2350.0,1.6070
2340.0,1.6331
2330.0,1.6235
2320.0,1.7488
2310.0,1.7701
2300.0,1.8549
2290.0,1.8775
2280.0,1.8694
2270.0,1.9000
2260.0,1.8906
2250.0,1.8662
2240.0,1.9468
2230.0,1.9437
2220.0,1.9616
2210.0,2.0080
2200.0,2.0383
2190.0,2.0225
2180.0,2.0118
2170.0,1.9846
2160.0,1.9898
2150.0,2.0032
2140.0,2.0483
2130.0,2.0436
2120.0,2.0043
2110.0,2.0585
2100.0,2.0907
2090.0,2.1988
2080.0,2.1083
2070.0,2.1712
2060.0,2.2678
2050.0,2.2486
2040.0,2.2861
2030.0,2.3643
2020.0,2.3640
2010.0,2.3891
2000.0,2.4527
1990.0,2.4211
1980.0,2.4137
1970.0,2.4452
1960.0,2.5174
1950.0,2.3952
1940.0,2.3204
1930.0,2.2836
1920.0,2.2616
1910.0,2.3636
1900.0,2.3811
1890.0,2.3489
1880.0,2.4398
1870.0,2.3851
1860.0,2.4768
1850.0,2.4802
1840.0,2.4878
1830.0,2.6209
1820.0,2.6917
1810.0,2.7827
1800.0,2.7854
1790.0,2.8056
1780.0,2.7586
1770.0,2.7602
1760.0,2.7980
1750.0,2.7844
1740.0,2.7975
1730.0,2.7862
1720.0,2.7387
1710.0,2.7409
1700.0,2.7847
1690.0,2.8113
1680.0,2.8218
1670.0,2.8938
1660.0,2.8906
1650.0,2.9163
1640.0,2.8635
1630.0,2.8639
1620.0,2.8942
1610.0,2.9517
1600.0,2.9878
1590.0,2.9286
1580.0,2.9202
1570.0,2.9519
1560.0,2.9535
1550.0,2.9861
1540.0,2.9865
1530.0,2.9293
1520.0,2.9978
1510.0,3.0171
1500.0,3.0314
1490.0,3.0173
1480.0,3.0162
1470.0,3.0068
1460.0,3.0221
1450.0,2.9977
1440.0,3.0392
1430.0,3.0127
1420.0,3.0040
1410.0,3.0186
1400.0,3.0088
1390.0,2.9283
1380.0,2.9077
1370.0,2.9630
1360.0,2.9732
1350.0,3.0660
1340.0,3.1024
1330.0,3.0977
1320.0,3.1182
1310.0,3.1659
1300.0,3.1445
1290.0,3.1730
1280.0,3.1845
1270.0,3.1509
1260.0,3.1612
1250.0,3.1896
1240.0,3.1623
1230.0,3.0809
1220.0,3.0707
1210.0,3.1121
1200.0,3.0924
1190.0,3.1138
1180.0,3.1341
1170.0,3.0865
1160.0,3.0660
1150.0,3.1180
1140.0,3.0829
1130.0,3.0926
1120.0,3.0411
1110.0,2.9926
1100.0,3.0473
1090.0,3.0329
1080.0,2.9556
1070.0,2.9250
1060.0,2.9589
1050.0,2.9605
1040.0,2.9309
1030.0,2.8820
1020.0,2.8264
1010.0,2.8024
1000.0,2.7600
990.0,2.7056
980.0,2.6824
970.0,2.6552
960.0,2.5771
950.0,2.5267
940.0,2.4624
930.0,2.3874
920.0,2.3616
910.0,2.2571
900.0,2.1604
890.0,2.0857
880.0,1.9734
870.0,1.8468
860.0,2.0668
850.0,10.0000
840.0,10.0000
830.0,10.0000
820.0,10.0000
810.0,10.0000
800.0,10.0000
790.0,10.0000
780.0,10.0000
770.0,10.0000
760.0,10.0000
750.0,10.0000
740.0,10.0000
730.0,10.0000
720.0,10.0000
710.0,10.0000
700.0,10.0000
690.0,10.0000
680.0,10.0000
670.0,10.0000
660.0,10.0000
650.0,10.0000
640.0,10.0000
630.0,10.0000
620.0,10.0000
610.0,10.0000
600.0,10.0000
590.0,10.0000
580.0,10.0000
570.0,10.0000
560.0,10.0000
550.0,10.0000
540.0,10.0000
530.0,10.0000
520.0,10.0000
510.0,10.0000
500.0,10.0000
490.0,10.0000
480.0,10.0000
470.0,10.0000
460.0,10.0000
450.0,10.0000
440.0,10.0000
430.0,10.0000
420.0,10.0000
410.0,10.0000
400.0,4.7921
390.0,4.5841
380.0,10.0000
370.0,10.0000
360.0,10.0000
350.0,4.2785
340.0,4.1870
330.0,4.0707
320.0,4.8499
310.0,10.0000
300.0,10.0000
290.0,10.0000
280.0,10.0000
270.0,10.0000
260.0,10.0000
250.0,10.0000
