Created as New Dataset,
nm,A
2500.0,0.9621
2490.0,0.5613
2480.0,0.7195
2470.0,1.2592
2460.0,1.2041
2450.0,1.2391
2440.0,1.2461
2430.0,1.4609
2420.0,1.8203
2410.0,1.3604
2400.0,1.4427
2390.0,1.5606
2380.0,1.7567
2370.0,1.6996
2360.0,1.7061
2350.0,1.7390
2340.0,1.6412
2330.0,1.7141
2320.0,1.8466
2310.0,1.6216
2300.0,1.6642
2290.0,2.1369
2280.0,1.9395
2270.0,1.8312
2260.0,1.9502
2250.0,1.7969
2240.0,2.0179
2230.0,1.9952
2220.0,2.0213
2210.0,1.7738
2200.0,2.0148
2190.0,1.8881
2180.0,2.1136
2170.0,1.8544
2160.0,1.8402
2150.0,1.7971
2140.0,1.8022
2130.0,1.9218
2120.0,2.0722
2110.0,2.0119
2100.0,2.1022
2090.0,1.9632
2080.0,2.2965
2070.0,2.0502
2060.0,2.2227
2050.0,2.1284
2040.0,2.2180
2030.0,2.2760
2020.0,2.5065
2010.0,2.3712
2000.0,2.3517
1990.0,2.3321
1980.0,2.4137
1970.0,2.3837
1960.0,2.4138
1950.0,2.4259
1940.0,2.3927
1930.0,2.3439
1920.0,2.3079
1910.0,2.2188
1900.0,2.3326
1890.0,2.3011
1880.0,2.4188
1870.0,2.4676
1860.0,2.4078
1850.0,2.6495
1840.0,2.4378
1830.0,2.5595
1820.0,2.5429
1810.0,2.6358
1800.0,2.7470
1790.0,2.7895
1780.0,2.6451
1770.0,2.7876
1760.0,2.6199
1750.0,2.6602
1740.0,2.6854
1730.0,2.7382
1720.0,2.7557
1710.0,2.7296
1700.0,2.6024
1690.0,2.6172
1680.0,2.7133
1670.0,2.7509
1660.0,2.8368
1650.0,2.8280
1640.0,2.8292
1630.0,2.7517
1620.0,2.8893
1610.0,2.9643
1600.0,3.0007
1590.0,2.8756
1580.0,2.8191
1570.0,2.7508
1560.0,2.9113
1550.0,2.9701
1540.0,3.0002
1530.0,2.9153
1520.0,2.8987
1510.0,2.8515
1500.0,3.0702
1490.0,2.9952
1480.0,2.8965
1470.0,3.0929
1460.0,3.0832
1450.0,3.0529
1440.0,2.8711
1430.0,2.8869
1420.0,2.9176
1410.0,2.9068
1400.0,2.8911
1390.0,2.9553
1380.0,2.8332
1370.0,2.9634
1360.0,2.9654
1350.0,3.1293
1340.0,3.1423
1330.0,3.0224
1320.0,3.0512
1310.0,3.1878
1300.0,3.1666
1290.0,3.1447
1280.0,3.0715
1270.0,3.1125
1260.0,3.1116
1250.0,3.2625
1240.0,3.2375
1230.0,3.1540
1220.0,3.1065
1210.0,3.0523
1200.0,3.1513
1190.0,3.0289
1180.0,2.9335
1170.0,3.0293
1160.0,3.1365
1150.0,3.0213
1140.0,3.0384
1130.0,2.9985
1120.0,3.0072
1110.0,2.9521
1100.0,2.9259
1090.0,2.9181
1080.0,2.9942
1070.0,3.0464
1060.0,2.8997
1050.0,2.9605
1040.0,2.9841
1030.0,2.9494
1020.0,3.0348
1010.0,2.9503
1000.0,2.8650
990.0,2.7098
980.0,2.5842
970.0,2.7048
960.0,2.7698
950.0,2.4811
940.0,2.3372
930.0,2.4228
920.0,2.5696
910.0,2.4974
900.0,2.3434
890.0,2.2517
880.0,1.9336
870.0,1.7457
860.0,2.0327
850.0,10.0000
840.0,10.0000
830.0,10.0000
820.0,10.0000
810.0,10.0000
800.0,10.0000
790.0,10.0000
780.0,10.0000
770.0,10.0000
760.0,10.0000
750.0,10.0000
740.0,10.0000
730.0,10.0000
720.0,10.0000
710.0,10.0000
700.0,10.0000
690.0,10.0000
680.0,10.0000
670.0,10.0000
660.0,10.0000
650.0,10.0000
640.0,10.0000
630.0,10.0000
620.0,10.0000
610.0,10.0000
600.0,10.0000
590.0,10.0000
580.0,10.0000
570.0,10.0000
560.0,10.0000
550.0,10.0000
540.0,10.0000
530.0,10.0000
520.0,10.0000
510.0,10.0000
500.0,10.0000
490.0,10.0000
480.0,10.0000
470.0,10.0000
460.0,10.0000
450.0,10.0000
440.0,10.0000
430.0,10.0000
420.0,10.0000
410.0,10.0000
400.0,10.0000
390.0,4.8160
380.0,10.0000
370.0,10.0000
360.0,10.0000
350.0,4.6541
340.0,4.3331
330.0,4.0169
320.0,4.5346
310.0,10.0000
300.0,10.0000
290.0,10.0000
280.0,10.0000
270.0,10.0000
260.0,10.0000
250.0,10.0000
