Created as New Dataset,
nm,A
2500.0,0.5832
2490.0,0.7966
2480.0,0.7659
2470.0,0.9752
2460.0,1.1449
2450.0,1.2960
2440.0,1.2733
2430.0,1.4032
2420.0,1.4928
2410.0,1.4802
2400.0,1.4617
2390.0,1.6111
2380.0,1.4866
2370.0,1.6013
2360.0,1.6105
2350.0,1.5504
2340.0,1.7463
2330.0,1.7552
2320.0,1.8237
2310.0,1.8332
2300.0,1.8397
2290.0,1.8910
2280.0,1.8803
2270.0,1.8861
2260.0,1.8377
2250.0,1.9966
2240.0,1.9431
2230.0,1.9811
2220.0,1.9766
2210.0,1.9759
2200.0,1.9776
2190.0,2.0336
2180.0,2.0523
2170.0,2.0301
2160.0,1.9960
2150.0,1.9766
2140.0,2.0555
2130.0,2.0039
2120.0,1.9460
2110.0,2.0602
2100.0,2.0712
2090.0,2.1523
2080.0,2.1246
2070.0,2.1493
2060.0,2.1643
2050.0,2.1959
2040.0,2.2330
2030.0,2.1964
2020.0,2.2690
2010.0,2.2332
2000.0,2.3020
1990.0,2.3188
1980.0,2.2905
1970.0,2.3216
1960.0,2.3393
1950.0,2.3041
1940.0,2.2763
1930.0,2.1838
1920.0,2.3295
1910.0,2.2944
1900.0,2.2719
1890.0,2.3164
1880.0,2.3630
1870.0,2.2017
1860.0,2.2895
1850.0,2.3614
1840.0,2.4081
1830.0,2.4633
1820.0,2.5752
1810.0,2.6464
1800.0,2.6170
1790.0,2.6285
1780.0,2.6017
1770.0,2.6145
1760.0,2.6875
1750.0,2.6812
1740.0,2.7228
1730.0,2.8004
1720.0,2.7097
1710.0,2.7229
1700.0,2.8356
1690.0,2.7792
1680.0,2.7572
1670.0,2.7808
1660.0,2.6034
1650.0,2.3807
1640.0,2.2902
1630.0,2.2527
1620.0,2.2397
1610.0,2.2366
1600.0,2.1873
1590.0,2.1277
1580.0,2.1168
1570.0,2.1137
1560.0,2.1231
1550.0,2.1285
1540.0,2.1425
1530.0,2.1467
1520.0,2.1536
1510.0,2.1544
1500.0,2.1805
1490.0,2.2176
1480.0,2.2566
1470.0,2.3173
1460.0,2.3892
1450.0,2.4303
1440.0,2.4653
1430.0,2.4892
1420.0,2.5843
1410.0,2.6513
1400.0,2.6302
1390.0,2.6139
1380.0,2.6661
1370.0,2.6117
1360.0,2.5415
1350.0,2.4821
1340.0,2.3480
1330.0,2.1843
1320.0,2.1547
1310.0,2.1535
1300.0,2.1490
1290.0,2.1484
1280.0,2.1594
1270.0,2.1694
1260.0,2.1831
1250.0,2.1871
1240.0,2.2033
1230.0,2.2216
1220.0,2.2668
1210.0,2.3485
1200.0,2.4282
1190.0,2.5308
1180.0,2.7385
1170.0,2.7979
1160.0,2.6617
1150.0,2.5520
1140.0,2.4888
1130.0,2.3984
1120.0,2.2815
1110.0,2.2465
1100.0,2.2379
1090.0,2.2261
1080.0,2.2274
1070.0,2.2504
1060.0,2.2460
1050.0,2.2540
1040.0,2.2645
1030.0,2.2602
1020.0,2.2733
1010.0,2.2678
1000.0,2.2672
990.0,2.2741
980.0,2.2613
970.0,2.2293
960.0,2.1879
950.0,2.1398
940.0,2.1134
930.0,2.1260
920.0,2.0987
910.0,2.0198
900.0,1.9935
890.0,1.9350
880.0,1.8686
870.0,1.7913
860.0,1.9457
850.0,2.5328
840.0,2.5944
830.0,2.5811
820.0,2.5764
810.0,2.5737
800.0,2.5799
790.0,2.5967
780.0,2.6123
770.0,2.6260
760.0,2.6420
750.0,2.6622
740.0,2.6837
730.0,2.7046
720.0,2.7193
710.0,2.7327
700.0,2.7497
690.0,2.7682
680.0,2.7927
670.0,2.8289
660.0,2.8552
650.0,2.8803
640.0,2.9149
630.0,2.9458
620.0,2.9751
610.0,3.0098
600.0,3.0450
590.0,3.0733
580.0,3.1086
570.0,3.1509
560.0,3.1895
550.0,3.2359
540.0,3.2771
530.0,3.3173
520.0,3.3557
510.0,3.3962
500.0,3.4965
490.0,3.6923
480.0,3.8776
470.0,3.8919
460.0,3.9682
450.0,4.2348
440.0,4.7256
430.0,10.0000
420.0,10.0000
410.0,10.0000
400.0,10.0000
390.0,5.2014
380.0,10.0000
370.0,10.0000
360.0,10.0000
350.0,4.4323
340.0,4.2125
330.0,4.1489
320.0,4.7250
310.0,10.0000
300.0,10.0000
290.0,10.0000
280.0,10.0000
270.0,10.0000
260.0,10.0000
250.0,10.0000
