Created as New Dataset,
nm,A
2500.0,0.5330
2490.0,0.6193
2480.0,0.7832
2470.0,0.8751
2460.0,1.0802
2450.0,1.1665
2440.0,1.2756
2430.0,1.2983
2420.0,1.3568
2410.0,1.4571
2400.0,1.4650
2390.0,1.5134
2380.0,1.5606
2370.0,1.5638
2360.0,1.5935
2350.0,1.5945
2340.0,1.6186
2330.0,1.6296
2320.0,1.7077
2310.0,1.7626
2300.0,1.8064
2290.0,1.8013
2280.0,1.8558
2270.0,1.8800
2260.0,1.8985
2250.0,1.9055
2240.0,1.8959
2230.0,1.8564
2220.0,1.8407
2210.0,1.8307
2200.0,1.8181
2190.0,1.8408
2180.0,1.8848
2170.0,1.8644
2160.0,1.8637
2150.0,1.8297
2140.0,1.8597
2130.0,1.8313
2120.0,1.8161
2110.0,1.7905
2100.0,1.8158
2090.0,1.8286
2080.0,1.8982
2070.0,1.9195
2060.0,1.9408
2050.0,1.9582
2040.0,1.9532
2030.0,1.9379
2020.0,1.8973
2010.0,1.8824
2000.0,1.8679
1990.0,1.8446
1980.0,1.8551
1970.0,1.8655
1960.0,1.8922
1950.0,1.9244
1940.0,1.9281
1930.0,1.9139
1920.0,1.9287
1910.0,1.9446
1900.0,1.9075
1890.0,1.8354
1880.0,1.7746
1870.0,1.7454
1860.0,1.7893
1850.0,1.8046
1840.0,1.8296
1830.0,1.8635
1820.0,1.8895
1810.0,1.9192
1800.0,1.9368
1790.0,1.9375
1780.0,1.9444
1770.0,1.9880
1760.0,2.0336
1750.0,2.0780
1740.0,2.1171
1730.0,2.1493
1720.0,2.1397
1710.0,2.1214
1700.0,2.1450
1690.0,2.2013
1680.0,2.2152
1670.0,2.1330
1660.0,2.0134
1650.0,1.8994
1640.0,1.8234
1630.0,1.7644
1620.0,1.7282
1610.0,1.7082
1600.0,1.7014
1590.0,1.7059
1580.0,1.7108
1570.0,1.7134
1560.0,1.7182
1550.0,1.7274
1540.0,1.7396
1530.0,1.7509
1520.0,1.7666
1510.0,1.7814
1500.0,1.7911
1490.0,1.7931
1480.0,1.7904
1470.0,1.7924
1460.0,1.7945
1450.0,1.8030
1440.0,1.8158
1430.0,1.8289
1420.0,1.8379
1410.0,1.8420
1400.0,1.8326
1390.0,1.8217
1380.0,1.8122
1370.0,1.7995
1360.0,1.7776
1350.0,1.7664
1340.0,1.7524
1330.0,1.7485
1320.0,1.7496
1310.0,1.7518
1300.0,1.7574
1290.0,1.7642
1280.0,1.7705
1270.0,1.7770
1260.0,1.7859
1250.0,1.7979
1240.0,1.8151
1230.0,1.8333
1220.0,1.8474
1210.0,1.8571
1200.0,1.8709
1190.0,1.8864
1180.0,1.8902
1170.0,1.8757
1160.0,1.8651
1150.0,1.8681
1140.0,1.8738
1130.0,1.8631
1120.0,1.8488
1110.0,1.8400
1100.0,1.8390
1090.0,1.8421
1080.0,1.8455
1070.0,1.8535
1060.0,1.8591
1050.0,1.8630
1040.0,1.8673
1030.0,1.8712
1020.0,1.8779
1010.0,1.8773
1000.0,1.8769
990.0,1.8791
980.0,1.8750
970.0,1.8724
960.0,1.8718
950.0,1.8703
940.0,1.8639
930.0,1.8526
920.0,1.8376
910.0,1.8150
900.0,1.7941
890.0,1.7637
880.0,1.7006
870.0,1.6501
860.0,1.7908
850.0,2.0487
840.0,2.0701
830.0,2.0706
820.0,2.0741
810.0,2.0805
800.0,2.0903
790.0,2.1011
780.0,2.1104
770.0,2.1204
760.0,2.1324
750.0,2.1444
740.0,2.1550
730.0,2.1665
720.0,2.1789
710.0,2.1931
700.0,2.2102
690.0,2.2342
680.0,2.2734
670.0,2.3346
660.0,2.4112
650.0,2.4790
640.0,2.5173
630.0,2.5266
620.0,2.5259
610.0,2.5343
600.0,2.5543
590.0,2.5736
580.0,2.5944
570.0,2.6242
560.0,2.6493
550.0,2.6590
540.0,2.6686
530.0,2.6918
520.0,2.7106
510.0,2.7204
500.0,2.7449
490.0,2.7888
480.0,2.8293
470.0,2.8605
460.0,2.9012
450.0,2.9529
440.0,3.0100
430.0,3.0637
420.0,3.1210
410.0,3.1904
400.0,3.2613
390.0,3.3856
380.0,3.6648
370.0,4.6104
360.0,10.0000
350.0,4.1955
340.0,3.9457
330.0,3.9579
320.0,4.5946
310.0,10.0000
300.0,10.0000
290.0,10.0000
280.0,10.0000
270.0,10.0000
260.0,10.0000
250.0,10.0000
