Created as New Dataset,
nm,A
2500.0,0.5012
2490.0,0.5592
2480.0,0.6669
2470.0,0.7719
2460.0,0.8462
2450.0,0.9347
2440.0,0.9561
2430.0,0.9861
2420.0,1.0269
2410.0,1.0312
2400.0,1.0549
2390.0,1.0668
2380.0,1.0645
2370.0,1.0738
2360.0,1.0943
2350.0,1.1142
2340.0,1.1022
2330.0,1.1053
2320.0,1.1337
2310.0,1.1394
2300.0,1.1393
2290.0,1.1492
2280.0,1.1540
2270.0,1.1596
2260.0,1.1690
2250.0,1.1709
2240.0,1.1777
2230.0,1.1729
2220.0,1.1676
2210.0,1.1723
2200.0,1.1710
2190.0,1.1739
2180.0,1.1814
2170.0,1.1669
2160.0,1.1652
2150.0,1.1587
2140.0,1.1731
2130.0,1.1676
2120.0,1.1738
2110.0,1.1833
2100.0,1.1804
2090.0,1.1882
2080.0,1.1896
2070.0,1.1939
2060.0,1.1992
2050.0,1.2064
2040.0,1.2056
2030.0,1.2086
2020.0,1.2111
2010.0,1.2123
2000.0,1.2157
1990.0,1.2189
1980.0,1.2235
1970.0,1.2198
1960.0,1.2181
1950.0,1.2204
1940.0,1.2188
1930.0,1.2173
1920.0,1.2174
1910.0,1.2253
1900.0,1.2219
1890.0,1.2206
1880.0,1.2290
1870.0,1.2193
1860.0,1.2316
1850.0,1.2309
1840.0,1.2358
1830.0,1.2411
1820.0,1.2437
1810.0,1.2484
1800.0,1.2499
1790.0,1.2504
1780.0,1.2502
1770.0,1.2521
1760.0,1.2513
1750.0,1.2513
1740.0,1.2556
1730.0,1.2569
1720.0,1.2570
1710.0,1.2582
1700.0,1.2580
1690.0,1.2596
1680.0,1.2628
1670.0,1.2652
1660.0,1.2677
1650.0,1.2667
1640.0,1.2654
1630.0,1.2668
1620.0,1.2670
1610.0,1.2687
1600.0,1.2689
1590.0,1.2696
1580.0,1.2710
1570.0,1.2718
1560.0,1.2733
1550.0,1.2741
1540.0,1.2758
1530.0,1.2765
1520.0,1.2783
1510.0,1.2793
1500.0,1.2797
1490.0,1.2805
1480.0,1.2816
1470.0,1.2829
1460.0,1.2839
1450.0,1.2859
1440.0,1.2864
1430.0,1.2869
1420.0,1.2886
1410.0,1.2902
1400.0,1.2908
1390.0,1.2902
1380.0,1.2905
1370.0,1.2928
1360.0,1.2929
1350.0,1.2951
1340.0,1.2976
1330.0,1.2994
1320.0,1.2999
1310.0,1.3012
1300.0,1.3023
1290.0,1.3039
1280.0,1.3050
1270.0,1.3057
1260.0,1.3077
1250.0,1.3085
1240.0,1.3078
1230.0,1.3094
1220.0,1.3114
1210.0,1.3127
1200.0,1.3137
1190.0,1.3164
1180.0,1.3216
1170.0,1.3226
1160.0,1.3235
1150.0,1.3240
1140.0,1.3246
1130.0,1.3263
1120.0,1.3272
1110.0,1.3273
1100.0,1.3282
1090.0,1.3301
1080.0,1.3304
1070.0,1.3315
1060.0,1.3324
1050.0,1.3321
1040.0,1.3339
1030.0,1.3355
1020.0,1.3363
1010.0,1.3354
1000.0,1.3335
990.0,1.3334
980.0,1.3342
970.0,1.3342
960.0,1.3314
950.0,1.3283
940.0,1.3268
930.0,1.3228
920.0,1.3176
910.0,1.3112
900.0,1.3010
890.0,1.2873
880.0,1.2771
870.0,1.2605
860.0,1.2959
850.0,1.3560
840.0,1.3606
830.0,1.3611
820.0,1.3612
810.0,1.3605
800.0,1.3603
790.0,1.3622
780.0,1.3635
770.0,1.3650
760.0,1.3668
750.0,1.3685
740.0,1.3705
730.0,1.3726
720.0,1.3742
710.0,1.3756
700.0,1.3774
690.0,1.3790
680.0,1.3806
670.0,1.3812
660.0,1.3815
650.0,1.3829
640.0,1.3842
630.0,1.3852
620.0,1.3866
610.0,1.3878
600.0,1.3887
590.0,1.3898
580.0,1.3912
570.0,1.3926
560.0,1.3946
550.0,1.3971
540.0,1.3993
530.0,1.4020
520.0,1.4049
510.0,1.4065
500.0,1.4070
490.0,1.4072
480.0,1.4079
470.0,1.4089
460.0,1.4090
450.0,1.4095
440.0,1.4102
430.0,1.4107
420.0,1.4113
410.0,1.4122
400.0,1.4130
390.0,1.4134
380.0,1.4131
370.0,1.4136
360.0,1.4131
350.0,1.4128
340.0,1.4133
330.0,1.4126
320.0,1.4130
310.0,1.4136
300.0,1.4143
290.0,1.4146
280.0,1.4138
270.0,1.4127
260.0,1.4119
250.0,1.4130
