Created as New Dataset,
nm,A
2500.0,0.4921
2490.0,0.6476
2480.0,0.7639
2470.0,0.9678
2460.0,1.0329
2450.0,1.1664
2440.0,1.2211
2430.0,1.2382
2420.0,1.3132
2410.0,1.4128
2400.0,1.4219
2390.0,1.4320
2380.0,1.5191
2370.0,1.4862
2360.0,1.5927
2350.0,1.4223
2340.0,1.3537
2330.0,1.4886
2320.0,1.6006
2310.0,1.7305
2300.0,1.8566
2290.0,1.8889
2280.0,1.8523
2270.0,1.9746
2260.0,1.8356
2250.0,1.7759
2240.0,1.6178
2230.0,1.5323
2220.0,1.4539
2210.0,1.3088
2200.0,1.1197
2190.0,0.9626
2180.0,0.8167
2170.0,0.6874
2160.0,0.6126
2150.0,0.5403
2140.0,0.4807
2130.0,0.4465
2120.0,0.4248
2110.0,0.4104
2100.0,0.4029
2090.0,0.3972
2080.0,0.3964
2070.0,0.4021
2060.0,0.4133
2050.0,0.4255
2040.0,0.4638
2030.0,0.4787
2020.0,0.5209
2010.0,0.5404
2000.0,0.5893
1990.0,0.6548
1980.0,0.7004
1970.0,0.7631
1960.0,0.8090
1950.0,0.8313
1940.0,0.8826
1930.0,0.9301
1920.0,1.0162
1910.0,1.1982
1900.0,1.2751
1890.0,0.8510
1880.0,0.4707
1870.0,0.3612
1860.0,0.3903
1850.0,0.5422
1840.0,0.4530
1830.0,0.4390
1820.0,0.3140
1810.0,0.3099
1800.0,0.3634
1790.0,0.5069
1780.0,0.6324
1770.0,0.5342
1760.0,0.7012
1750.0,1.2478
1740.0,1.3518
1730.0,0.8711
1720.0,0.5563
1710.0,0.6625
1700.0,1.4526
1690.0,1.0069
1680.0,0.5408
1670.0,0.3329
1660.0,0.3104
1650.0,0.2994
1640.0,0.2668
1630.0,0.2366
1620.0,0.2218
1610.0,0.2148
1600.0,0.2121
1590.0,0.2127
1580.0,0.2182
1570.0,0.2339
1560.0,0.2603
1550.0,0.2822
1540.0,0.2918
1530.0,0.2966
1520.0,0.2964
1510.0,0.2883
1500.0,0.2749
1490.0,0.2705
1480.0,0.2807
1470.0,0.2992
1460.0,0.3125
1450.0,0.3094
1440.0,0.3289
1430.0,0.3670
1420.0,0.4314
1410.0,0.5317
1400.0,0.5503
1390.0,0.4072
1380.0,0.3009
1370.0,0.2517
1360.0,0.1871
1350.0,0.1415
1340.0,0.1227
1330.0,0.1110
1320.0,0.1038
1310.0,0.1012
1300.0,0.1015
1290.0,0.1022
1280.0,0.1021
1270.0,0.1017
1260.0,0.1013
1250.0,0.1016
1240.0,0.1018
1230.0,0.1056
1220.0,0.1204
1210.0,0.1331
1200.0,0.1694
1190.0,0.3098
1180.0,0.3529
1170.0,0.2063
1160.0,0.1718
1150.0,0.1687
1140.0,0.1422
1130.0,0.1181
1120.0,0.1123
1110.0,0.1121
1100.0,0.1162
1090.0,0.1200
1080.0,0.1193
1070.0,0.1183
1060.0,0.1187
1050.0,0.1202
1040.0,0.1232
1030.0,0.1296
1020.0,0.1363
1010.0,0.1367
1000.0,0.1352
990.0,0.1358
980.0,0.1374
970.0,0.1404
960.0,0.1437
950.0,0.1450
940.0,0.1452
930.0,0.1471
920.0,0.1541
910.0,0.1686
900.0,0.1704
890.0,0.1611
880.0,0.1608
870.0,0.1629
860.0,0.1669
850.0,0.1708
840.0,0.1734
830.0,0.1770
820.0,0.1810
810.0,0.1855
800.0,0.1896
790.0,0.1936
780.0,0.1980
770.0,0.2025
760.0,0.2072
750.0,0.2138
740.0,0.2195
730.0,0.2234
720.0,0.2283
710.0,0.2340
700.0,0.2398
690.0,0.2457
680.0,0.2522
670.0,0.2590
660.0,0.2660
650.0,0.2733
640.0,0.2809
630.0,0.2888
620.0,0.2964
610.0,0.3042
600.0,0.3121
590.0,0.3201
580.0,0.3283
570.0,0.3367
560.0,0.3451
550.0,0.3536
540.0,0.3622
530.0,0.3716
520.0,0.3814
510.0,0.3913
500.0,0.4016
490.0,0.4123
480.0,0.4237
470.0,0.4358
460.0,0.4480
450.0,0.4613
440.0,0.4752
430.0,0.4891
420.0,0.5033
410.0,0.5184
400.0,0.5368
390.0,0.5671
380.0,0.6270
370.0,0.6951
360.0,0.7408
350.0,0.7838
340.0,0.8305
330.0,0.8874
320.0,0.9665
310.0,1.0876
300.0,1.2853
290.0,1.6131
280.0,2.1412
270.0,2.8786
260.0,3.2698
250.0,3.2827
