Created as New Dataset,
nm,A
2500.0,0.1488
2490.0,0.1851
2480.0,0.1981
2470.0,0.2159
2460.0,0.2167
2450.0,0.2276
2440.0,0.2327
2430.0,0.2309
2420.0,0.2353
2410.0,0.2367
2400.0,0.2357
2390.0,0.2378
2380.0,0.2374
2370.0,0.2402
2360.0,0.2394
2350.0,0.2412
2340.0,0.2422
2330.0,0.2432
2320.0,0.2415
2310.0,0.2416
2300.0,0.2433
2290.0,0.2448
2280.0,0.2438
2270.0,0.2444
2260.0,0.2441
2250.0,0.2425
2240.0,0.2364
2230.0,0.2331
2220.0,0.2329
2210.0,0.2317
2200.0,0.2334
2190.0,0.2345
2180.0,0.2354
2170.0,0.2362
2160.0,0.2382
2150.0,0.2371
2140.0,0.2351
2130.0,0.2359
2120.0,0.2338
2110.0,0.2299
2100.0,0.2286
2090.0,0.2262
2080.0,0.2275
2070.0,0.2298
2060.0,0.2340
2050.0,0.2369
2040.0,0.2360
2030.0,0.2339
2020.0,0.2322
2010.0,0.2275
2000.0,0.2239
1990.0,0.2237
1980.0,0.2247
1970.0,0.2244
1960.0,0.2235
1950.0,0.2239
1940.0,0.2255
1930.0,0.2266
1920.0,0.2279
1910.0,0.2276
1900.0,0.2248
1890.0,0.2187
1880.0,0.2147
1870.0,0.2132
1860.0,0.2139
1850.0,0.2145
1840.0,0.2157
1830.0,0.2169
1820.0,0.2179
1810.0,0.2188
1800.0,0.2197
1790.0,0.2209
1780.0,0.2231
1770.0,0.2257
1760.0,0.2284
1750.0,0.2306
1740.0,0.2312
1730.0,0.2303
1720.0,0.2302
1710.0,0.2313
1700.0,0.2321
1690.0,0.2310
1680.0,0.2281
1670.0,0.2239
1660.0,0.2192
1650.0,0.2167
1640.0,0.2138
1630.0,0.2073
1620.0,0.2022
1610.0,0.2004
1600.0,0.2005
1590.0,0.2012
1580.0,0.2021
1570.0,0.2037
1560.0,0.2051
1550.0,0.2061
1540.0,0.2082
1530.0,0.2115
1520.0,0.2141
1510.0,0.2144
1500.0,0.2136
1490.0,0.2118
1480.0,0.2088
1470.0,0.2063
1460.0,0.2067
1450.0,0.2077
1440.0,0.2095
1430.0,0.2114
1420.0,0.2130
1410.0,0.2132
1400.0,0.2121
1390.0,0.2104
1380.0,0.2094
1370.0,0.2070
1360.0,0.2036
1350.0,0.2008
1340.0,0.1992
1330.0,0.1985
1320.0,0.1984
1310.0,0.1985
1300.0,0.1987
1290.0,0.1992
1280.0,0.1999
1270.0,0.2002
1260.0,0.2004
1250.0,0.2009
1240.0,0.2020
1230.0,0.2038
1220.0,0.2062
1210.0,0.2099
1200.0,0.2137
1190.0,0.2132
1180.0,0.2091
1170.0,0.2065
1160.0,0.2047
1150.0,0.2045
1140.0,0.2035
1130.0,0.2007
1120.0,0.1987
1110.0,0.1975
1100.0,0.1969
1090.0,0.1968
1080.0,0.1971
1070.0,0.1974
1060.0,0.1979
1050.0,0.1986
1040.0,0.1991
1030.0,0.1993
1020.0,0.1994
1010.0,0.1992
1000.0,0.1990
990.0,0.1990
980.0,0.1991
970.0,0.1991
960.0,0.1992
950.0,0.1993
940.0,0.1996
930.0,0.2003
920.0,0.2010
910.0,0.2010
900.0,0.2004
890.0,0.2001
880.0,0.1994
870.0,0.1992
860.0,0.2008
850.0,0.2015
840.0,0.2016
830.0,0.2019
820.0,0.2019
810.0,0.2034
800.0,0.2053
790.0,0.2055
780.0,0.2056
770.0,0.2060
760.0,0.2063
750.0,0.2068
740.0,0.2069
730.0,0.2071
720.0,0.2075
710.0,0.2078
700.0,0.2079
690.0,0.2081
680.0,0.2084
670.0,0.2086
660.0,0.2087
650.0,0.2089
640.0,0.2093
630.0,0.2096
620.0,0.2097
610.0,0.2099
600.0,0.2102
590.0,0.2103
580.0,0.2104
570.0,0.2105
560.0,0.2107
550.0,0.2110
540.0,0.2112
530.0,0.2113
520.0,0.2113
510.0,0.2113
500.0,0.2117
490.0,0.2124
480.0,0.2129
470.0,0.2132
460.0,0.2139
450.0,0.2148
440.0,0.2154
430.0,0.2160
420.0,0.2169
410.0,0.2177
400.0,0.2185
390.0,0.2200
380.0,0.2221
370.0,0.2232
360.0,0.2236
350.0,0.2268
340.0,0.2335
330.0,0.2397
320.0,0.2434
310.0,0.2453
300.0,0.2499
290.0,0.2558
280.0,0.2571
270.0,0.2566
260.0,0.2565
250.0,0.2569
