Created as New Dataset,
nm,A
2500.0,0.5645
2490.0,0.8027
2480.0,0.8226
2470.0,0.9221
2460.0,1.0452
2450.0,1.1935
2440.0,1.2845
2430.0,1.3346
2420.0,1.4734
2410.0,1.4273
2400.0,1.4774
2390.0,1.4649
2380.0,1.5401
2370.0,1.5703
2360.0,1.5687
2350.0,1.6403
2340.0,1.6716
2330.0,1.6716
2320.0,1.7293
2310.0,1.7566
2300.0,1.7355
2290.0,1.8263
2280.0,1.8274
2270.0,1.9099
2260.0,1.8872
2250.0,1.9535
2240.0,1.9548
2230.0,1.9630
2220.0,1.9917
2210.0,1.9977
2200.0,2.0180
2190.0,2.0049
2180.0,1.9675
2170.0,1.9450
2160.0,1.9345
2150.0,1.9807
2140.0,1.9945
2130.0,1.9841
2120.0,2.0314
2110.0,2.0437
2100.0,2.1270
2090.0,2.1646
2080.0,2.1696
2070.0,2.2160
2060.0,2.2711
2050.0,2.2603
2040.0,2.2861
2030.0,2.2690
2020.0,2.4040
2010.0,2.4555
2000.0,2.5093
1990.0,2.4095
1980.0,2.3962
1970.0,2.4548
1960.0,2.3828
1950.0,2.3742
1940.0,2.3256
1930.0,2.2599
1920.0,2.3033
1910.0,2.2731
1900.0,2.3257
1890.0,2.4065
1880.0,2.3954
1870.0,2.3289
1860.0,2.4790
1850.0,2.4495
1840.0,2.5269
1830.0,2.5710
1820.0,2.6159
1810.0,2.6515
1800.0,2.7489
1790.0,2.7016
1780.0,2.7445
1770.0,2.7791
1760.0,2.7463
1750.0,2.7891
1740.0,2.7809
1730.0,2.7534
1720.0,2.7540
1710.0,2.7409
1700.0,2.7798
1690.0,2.8010
1680.0,2.7921
1670.0,2.8108
1660.0,2.8344
1650.0,2.8389
1640.0,2.8653
1630.0,2.9096
1620.0,2.8388
1610.0,2.8603
1600.0,2.9053
1590.0,2.9322
1580.0,2.9920
1570.0,2.9334
1560.0,2.9615
1550.0,2.9390
1540.0,2.9208
1530.0,2.9878
1520.0,3.0105
1510.0,2.9750
1500.0,3.0017
1490.0,2.9964
1480.0,3.0685
1470.0,3.0013
1460.0,2.9972
1450.0,3.0126
1440.0,3.0225
1430.0,2.9759
1420.0,3.0208
1410.0,3.0392
1400.0,3.0481
1390.0,2.9564
1380.0,2.9152
1370.0,2.9596
1360.0,2.9360
1350.0,2.9895
1340.0,3.0894
1330.0,3.1035
1320.0,3.1133
1310.0,3.1272
1300.0,3.0883
1290.0,3.1236
1280.0,3.1379
1270.0,3.1635
1260.0,3.1154
1250.0,3.0614
1240.0,3.0813
1230.0,3.0565
1220.0,3.0525
1210.0,3.1111
1200.0,3.1460
1190.0,3.0830
1180.0,3.0657
1170.0,3.0916
1160.0,3.1175
1150.0,3.0998
1140.0,3.0666
1130.0,3.0299
1120.0,3.0035
1110.0,2.9817
1100.0,2.9794
1090.0,2.9831
1080.0,2.9720
1070.0,2.9582
1060.0,2.9316
1050.0,2.8970
1040.0,2.8899
1030.0,2.8808
1020.0,2.8342
1010.0,2.8472
1000.0,2.7852
990.0,2.7005
980.0,2.6603
970.0,2.6177
960.0,2.5894
950.0,2.5431
940.0,2.4735
930.0,2.4241
920.0,2.3355
910.0,2.1994
900.0,2.1765
890.0,2.1422
880.0,1.9553
870.0,1.8509
860.0,2.1292
850.0,10.0000
840.0,10.0000
830.0,10.0000
820.0,10.0000
810.0,10.0000
800.0,10.0000
790.0,10.0000
780.0,10.0000
770.0,10.0000
760.0,10.0000
750.0,10.0000
740.0,10.0000
730.0,10.0000
720.0,10.0000
710.0,10.0000
700.0,10.0000
690.0,10.0000
680.0,10.0000
670.0,10.0000
660.0,10.0000
650.0,10.0000
640.0,10.0000
630.0,10.0000
620.0,10.0000
610.0,10.0000
600.0,10.0000
590.0,10.0000
580.0,10.0000
570.0,10.0000
560.0,10.0000
550.0,10.0000
540.0,10.0000
530.0,10.0000
520.0,10.0000
510.0,10.0000
500.0,10.0000
490.0,10.0000
480.0,10.0000
470.0,10.0000
460.0,10.0000
450.0,10.0000
440.0,10.0000
430.0,10.0000
420.0,10.0000
410.0,10.0000
400.0,10.0000
390.0,10.0000
380.0,10.0000
370.0,10.0000
360.0,10.0000
350.0,4.2635
340.0,4.0150
330.0,4.0520
320.0,5.5489
310.0,10.0000
300.0,10.0000
290.0,10.0000
280.0,10.0000
270.0,10.0000
260.0,10.0000
250.0,10.0000
