Created as New Dataset,
nm,%T
2500.0,99.65
2490.0,99.98
2480.0,99.99
2470.0,100.08
2460.0,100.07
2450.0,100.01
2440.0,99.97
2430.0,99.98
2420.0,100.03
2410.0,100.02
2400.0,100.05
2390.0,99.99
2380.0,100.01
2370.0,100.00
2360.0,99.99
2350.0,100.00
2340.0,99.99
2330.0,100.02
2320.0,100.01
2310.0,99.98
2300.0,100.00
2290.0,100.00
2280.0,99.99
2270.0,100.00
2260.0,99.99
2250.0,99.98
2240.0,100.01
2230.0,100.00
2220.0,100.00
2210.0,100.00
2200.0,100.01
2190.0,99.99
2180.0,100.00
2170.0,100.00
2160.0,100.01
2150.0,100.02
2140.0,100.01
2130.0,100.00
2120.0,100.00
2110.0,100.00
2100.0,100.00
2090.0,100.00
2080.0,100.01
2070.0,100.00
2060.0,100.00
2050.0,100.01
2040.0,100.00
2030.0,100.01
2020.0,100.00
2010.0,100.01
2000.0,100.00
1990.0,100.00
1980.0,100.00
1970.0,100.00
1960.0,100.00
1950.0,100.00
1940.0,100.00
1930.0,100.00
1920.0,100.01
1910.0,100.01
1900.0,100.01
1890.0,100.00
1880.0,100.00
1870.0,100.00
1860.0,100.00
1850.0,100.00
1840.0,100.00
1830.0,100.00
1820.0,100.00
1810.0,100.01
1800.0,100.00
1790.0,100.00
1780.0,100.00
1770.0,100.00
1760.0,100.00
1750.0,100.00
1740.0,100.00
1730.0,100.00
1720.0,100.01
1710.0,100.01
1700.0,100.00
1690.0,100.00
1680.0,100.00
1670.0,100.00
1660.0,100.00
1650.0,100.00
1640.0,100.00
1630.0,100.00
1620.0,100.00
1610.0,100.00
1600.0,100.00
1590.0,100.00
1580.0,100.00
1570.0,100.00
1560.0,99.99
1550.0,99.99
1540.0,99.99
1530.0,100.00
1520.0,100.00
1510.0,100.00
1500.0,100.00
1490.0,100.00
1480.0,100.00
1470.0,100.00
1460.0,100.00
1450.0,99.99
1440.0,100.00
1430.0,100.00
1420.0,100.00
1410.0,100.00
1400.0,100.00
1390.0,100.00
1380.0,100.00
1370.0,100.00
1360.0,100.00
1350.0,100.00
1340.0,100.00
1330.0,100.00
1320.0,100.00
1310.0,100.00
1300.0,100.00
1290.0,100.00
1280.0,100.00
1270.0,100.00
1260.0,100.00
1250.0,100.00
1240.0,100.00
1230.0,100.00
1220.0,100.00
1210.0,100.01
1200.0,100.00
1190.0,100.00
1180.0,100.00
1170.0,100.00
1160.0,100.00
1150.0,100.00
1140.0,100.00
1130.0,100.00
1120.0,100.00
1110.0,100.00
1100.0,100.00
1090.0,100.01
1080.0,100.00
1070.0,100.00
1060.0,100.00
1050.0,100.00
1040.0,100.00
1030.0,100.00
1020.0,100.00
1010.0,100.00
1000.0,100.00
990.0,100.00
980.0,100.00
970.0,100.00
960.0,100.00
950.0,100.00
940.0,100.00
930.0,100.00
920.0,100.00
910.0,100.00
900.0,100.01
890.0,100.01
880.0,100.00
870.0,100.00
860.0,99.84
850.0,100.41
840.0,100.65
830.0,99.98
820.0,99.92
810.0,100.13
800.0,100.17
790.0,100.04
780.0,99.94
770.0,99.94
760.0,99.96
750.0,99.96
740.0,99.99
730.0,99.98
720.0,99.98
710.0,99.97
700.0,100.04
690.0,100.07
680.0,100.04
670.0,100.01
660.0,100.02
650.0,100.02
640.0,99.97
630.0,99.99
620.0,100.03
610.0,99.99
600.0,99.95
590.0,99.98
580.0,100.00
570.0,99.99
560.0,99.99
550.0,100.00
540.0,100.03
530.0,100.03
520.0,99.99
510.0,99.97
500.0,99.94
490.0,99.95
480.0,100.01
470.0,100.04
460.0,99.99
450.0,99.91
440.0,99.93
430.0,100.00
420.0,99.98
410.0,99.97
400.0,99.94
390.0,99.97
380.0,99.97
370.0,99.98
360.0,100.08
350.0,100.08
340.0,100.05
330.0,99.98
320.0,100.03
310.0,100.04
300.0,100.12
290.0,100.15
280.0,100.00
270.0,99.99
260.0,99.93
250.0,99.85
