Created as New Dataset,
nm,%T
2500.0,11.71
2490.0,11.85
2480.0,11.70
2470.0,12.52
2460.0,13.44
2450.0,14.34
2440.0,15.56
2430.0,16.55
2420.0,17.26
2410.0,17.70
2400.0,17.83
2390.0,17.88
2380.0,17.70
2370.0,17.47
2360.0,17.18
2350.0,16.94
2340.0,16.84
2330.0,16.99
2320.0,17.51
2310.0,18.28
2300.0,19.02
2290.0,19.30
2280.0,19.14
2270.0,19.42
2260.0,20.57
2250.0,21.82
2240.0,22.67
2230.0,23.04
2220.0,23.06
2210.0,22.87
2200.0,22.53
2190.0,22.11
2180.0,21.64
2170.0,21.14
2160.0,20.63
2150.0,20.06
2140.0,19.36
2130.0,18.59
2120.0,17.83
2110.0,17.35
2100.0,17.21
2090.0,17.38
2080.0,17.80
2070.0,18.52
2060.0,19.50
2050.0,20.59
2040.0,21.66
2030.0,22.45
2020.0,22.85
2010.0,22.85
2000.0,22.48
1990.0,21.86
1980.0,21.07
1970.0,20.20
1960.0,19.28
1950.0,18.42
1940.0,17.74
1930.0,17.55
1920.0,18.23
1910.0,19.94
1900.0,22.38
1890.0,24.58
1880.0,26.03
1870.0,26.85
1860.0,27.15
1850.0,27.13
1840.0,26.96
1830.0,26.72
1820.0,26.53
1810.0,26.41
1800.0,26.30
1790.0,26.19
1780.0,26.12
1770.0,26.13
1760.0,26.20
1750.0,26.31
1740.0,26.42
1730.0,26.49
1720.0,26.52
1710.0,26.52
1700.0,26.58
1690.0,26.71
1680.0,26.81
1670.0,26.79
1660.0,26.62
1650.0,26.35
1640.0,26.01
1630.0,25.62
1620.0,25.17
1610.0,24.64
1600.0,24.09
1590.0,23.62
1580.0,23.31
1570.0,23.08
1560.0,22.88
1550.0,22.67
1540.0,22.47
1530.0,22.30
1520.0,22.08
1510.0,21.78
1500.0,21.46
1490.0,21.23
1480.0,21.16
1470.0,21.29
1460.0,21.56
1450.0,21.90
1440.0,22.35
1430.0,23.00
1420.0,23.90
1410.0,24.92
1400.0,25.78
1390.0,26.31
1380.0,26.57
1370.0,26.71
1360.0,26.85
1350.0,26.98
1340.0,27.05
1330.0,27.09
1320.0,27.11
1310.0,27.08
1300.0,27.02
1290.0,26.93
1280.0,26.82
1270.0,26.72
1260.0,26.63
1250.0,26.54
1240.0,26.43
1230.0,26.31
1220.0,26.21
1210.0,26.15
1200.0,26.15
1190.0,26.18
1180.0,26.24
1170.0,26.27
1160.0,26.29
1150.0,26.31
1140.0,26.32
1130.0,26.30
1120.0,26.24
1110.0,26.16
1100.0,26.07
1090.0,25.99
1080.0,25.92
1070.0,25.84
1060.0,25.76
1050.0,25.69
1040.0,25.61
1030.0,25.53
1020.0,25.45
1010.0,25.37
1000.0,25.31
990.0,25.24
980.0,25.19
970.0,25.14
960.0,25.10
950.0,25.04
940.0,24.98
930.0,24.91
920.0,24.84
910.0,24.77
900.0,24.72
890.0,24.66
880.0,24.60
870.0,24.54
860.0,24.47
850.0,24.40
840.0,24.23
830.0,24.07
820.0,24.01
810.0,23.92
800.0,23.82
790.0,23.70
780.0,23.59
770.0,23.50
760.0,23.42
750.0,23.32
740.0,23.22
730.0,23.09
720.0,22.97
710.0,22.87
700.0,22.77
690.0,22.66
680.0,22.57
670.0,22.46
660.0,22.35
650.0,22.24
640.0,22.10
630.0,21.95
620.0,21.79
610.0,21.62
600.0,21.47
590.0,21.31
580.0,21.12
570.0,20.91
560.0,20.69
550.0,20.46
540.0,20.16
530.0,19.64
520.0,18.66
510.0,16.83
500.0,13.91
490.0,10.29
480.0,6.91
470.0,4.42
460.0,2.84
450.0,1.88
440.0,1.31
430.0,1.00
420.0,0.90
410.0,1.03
400.0,1.29
390.0,1.62
380.0,2.00
370.0,2.43
360.0,2.88
350.0,3.14
340.0,2.97
330.0,2.51
320.0,2.03
310.0,1.67
300.0,1.60
290.0,1.68
280.0,1.78
270.0,1.77
260.0,1.68
250.0,1.53
