Created as New Dataset,
nm,A
2500.0,0.4701
2490.0,0.6026
2480.0,0.7771
2470.0,0.8961
2460.0,0.9550
2450.0,0.9839
2440.0,1.1616
2430.0,1.1443
2420.0,1.1779
2410.0,1.1814
2400.0,1.2146
2390.0,1.2418
2380.0,1.2552
2370.0,1.2868
2360.0,1.2916
2350.0,1.3131
2340.0,1.3533
2330.0,1.3432
2320.0,1.3785
2310.0,1.3662
2300.0,1.3846
2290.0,1.3686
2280.0,1.4028
2270.0,1.4167
2260.0,1.4052
2250.0,1.3686
2240.0,1.3642
2230.0,1.3396
2220.0,1.3401
2210.0,1.3354
2200.0,1.3535
2190.0,1.3554
2180.0,1.3731
2170.0,1.3741
2160.0,1.3811
2150.0,1.3606
2140.0,1.3918
2130.0,1.3967
2120.0,1.4425
2110.0,1.4690
2100.0,1.4661
2090.0,1.4774
2080.0,1.4656
2070.0,1.4612
2060.0,1.4510
2050.0,1.4257
2040.0,1.4164
2030.0,1.4073
2020.0,1.3952
2010.0,1.4073
2000.0,1.4079
1990.0,1.4273
1980.0,1.4384
1970.0,1.4563
1960.0,1.4759
1950.0,1.4982
1940.0,1.5014
1930.0,1.4935
1920.0,1.4926
1910.0,1.4605
1900.0,1.4090
1890.0,1.3653
1880.0,1.3469
1870.0,1.3297
1860.0,1.3398
1850.0,1.3395
1840.0,1.3453
1830.0,1.3569
1820.0,1.3649
1810.0,1.3737
1800.0,1.3766
1790.0,1.3819
1780.0,1.3823
1770.0,1.3855
1760.0,1.3884
1750.0,1.3873
1740.0,1.3891
1730.0,1.3929
1720.0,1.3945
1710.0,1.3929
1700.0,1.3910
1690.0,1.3914
1680.0,1.3898
1670.0,1.3915
1660.0,1.3908
1650.0,1.3939
1640.0,1.3998
1630.0,1.4068
1620.0,1.4156
1610.0,1.4268
1600.0,1.4376
1590.0,1.4494
1580.0,1.4566
1570.0,1.4605
1560.0,1.4661
1550.0,1.4720
1540.0,1.4774
1530.0,1.4806
1520.0,1.4873
1510.0,1.4966
1500.0,1.5056
1490.0,1.5129
1480.0,1.5144
1470.0,1.5141
1460.0,1.5087
1450.0,1.5044
1440.0,1.4981
1430.0,1.4868
1420.0,1.4690
1410.0,1.4499
1400.0,1.4350
1390.0,1.4277
1380.0,1.4250
1370.0,1.4263
1360.0,1.4262
1350.0,1.4274
1340.0,1.4282
1330.0,1.4280
1320.0,1.4303
1310.0,1.4328
1300.0,1.4367
1290.0,1.4394
1280.0,1.4429
1270.0,1.4464
1260.0,1.4501
1250.0,1.4551
1240.0,1.4601
1230.0,1.4644
1220.0,1.4680
1210.0,1.4718
1200.0,1.4757
1190.0,1.4769
1180.0,1.4757
1170.0,1.4766
1160.0,1.4797
1150.0,1.4828
1140.0,1.4844
1130.0,1.4851
1120.0,1.4882
1110.0,1.4933
1100.0,1.4986
1090.0,1.5030
1080.0,1.5079
1070.0,1.5136
1060.0,1.5155
1050.0,1.5193
1040.0,1.5231
1030.0,1.5273
1020.0,1.5329
1010.0,1.5396
1000.0,1.5433
990.0,1.5471
980.0,1.5467
970.0,1.5478
960.0,1.5539
950.0,1.5531
940.0,1.5522
930.0,1.5533
920.0,1.5482
910.0,1.5485
900.0,1.5481
890.0,1.5245
880.0,1.4912
870.0,1.4654
860.0,1.5538
850.0,1.7009
840.0,1.7191
830.0,1.7275
820.0,1.7377
810.0,1.7496
800.0,1.7635
790.0,1.7769
780.0,1.7906
770.0,1.8054
760.0,1.8221
750.0,1.8405
740.0,1.8582
730.0,1.8775
720.0,1.8979
710.0,1.9196
700.0,1.9441
690.0,1.9694
680.0,1.9974
670.0,2.0274
660.0,2.0601
650.0,2.0930
640.0,2.1222
630.0,2.1513
620.0,2.1841
610.0,2.2199
600.0,2.2586
590.0,2.2979
580.0,2.3361
570.0,2.3764
560.0,2.4192
550.0,2.4627
540.0,2.5072
530.0,2.5553
520.0,2.6085
510.0,2.6728
500.0,2.7488
490.0,2.8311
480.0,2.9008
470.0,2.9563
460.0,3.0274
450.0,3.1250
440.0,3.2396
430.0,3.3584
420.0,3.4832
410.0,3.5914
400.0,3.7169
390.0,3.8942
380.0,4.2668
370.0,10.0000
360.0,10.0000
350.0,4.2862
340.0,4.1932
330.0,4.0804
320.0,4.5946
310.0,10.0000
300.0,10.0000
290.0,10.0000
280.0,10.0000
270.0,10.0000
260.0,10.0000
250.0,10.0000
