Created as New Dataset,
nm,A
2500.0,0.2554
2490.0,0.3120
2480.0,0.3501
2470.0,0.3715
2460.0,0.4164
2450.0,0.4800
2440.0,0.4942
2430.0,0.4443
2420.0,0.4429
2410.0,0.4257
2400.0,0.4420
2390.0,0.4453
2380.0,0.4436
2370.0,0.4544
2360.0,0.4640
2350.0,0.4643
2340.0,0.4754
2330.0,0.4892
2320.0,0.4684
2310.0,0.4574
2300.0,0.4543
2290.0,0.4512
2280.0,0.4539
2270.0,0.4731
2260.0,0.4949
2250.0,0.4989
2240.0,0.4715
2230.0,0.4118
2220.0,0.3715
2210.0,0.3511
2200.0,0.3476
2190.0,0.3521
2180.0,0.3681
2170.0,0.3522
2160.0,0.3785
2150.0,0.3666
2140.0,0.3711
2130.0,0.4010
2120.0,0.3682
2110.0,0.3435
2100.0,0.3286
2090.0,0.3303
2080.0,0.3311
2070.0,0.3252
2060.0,0.3207
2050.0,0.3211
2040.0,0.3211
2030.0,0.3210
2020.0,0.3212
2010.0,0.3207
2000.0,0.3230
1990.0,0.3251
1980.0,0.3273
1970.0,0.3308
1960.0,0.3375
1950.0,0.3438
1940.0,0.3393
1930.0,0.3389
1920.0,0.3443
1910.0,0.3524
1900.0,0.3471
1890.0,0.3293
1880.0,0.3207
1870.0,0.3175
1860.0,0.3185
1850.0,0.3181
1840.0,0.3191
1830.0,0.3232
1820.0,0.3252
1810.0,0.3256
1800.0,0.3269
1790.0,0.3261
1780.0,0.3254
1770.0,0.3282
1760.0,0.3300
1750.0,0.3326
1740.0,0.3362
1730.0,0.3419
1720.0,0.3437
1710.0,0.3439
1700.0,0.3433
1690.0,0.3428
1680.0,0.3585
1670.0,0.3760
1660.0,0.3939
1650.0,0.3675
1640.0,0.3361
1630.0,0.3193
1620.0,0.3155
1610.0,0.3136
1600.0,0.3104
1590.0,0.3099
1580.0,0.3097
1570.0,0.3095
1560.0,0.3096
1550.0,0.3097
1540.0,0.3099
1530.0,0.3102
1520.0,0.3106
1510.0,0.3111
1500.0,0.3116
1490.0,0.3121
1480.0,0.3128
1470.0,0.3138
1460.0,0.3147
1450.0,0.3152
1440.0,0.3163
1430.0,0.3179
1420.0,0.3190
1410.0,0.3183
1400.0,0.3159
1390.0,0.3132
1380.0,0.3119
1370.0,0.3114
1360.0,0.3105
1350.0,0.3100
1340.0,0.3090
1330.0,0.3082
1320.0,0.3080
1310.0,0.3078
1300.0,0.3078
1290.0,0.3079
1280.0,0.3079
1270.0,0.3080
1260.0,0.3082
1250.0,0.3084
1240.0,0.3086
1230.0,0.3090
1220.0,0.3094
1210.0,0.3101
1200.0,0.3111
1190.0,0.3124
1180.0,0.3138
1170.0,0.3141
1160.0,0.3132
1150.0,0.3124
1140.0,0.3136
1130.0,0.3157
1120.0,0.3137
1110.0,0.3105
1100.0,0.3097
1090.0,0.3096
1080.0,0.3096
1070.0,0.3096
1060.0,0.3098
1050.0,0.3101
1040.0,0.3103
1030.0,0.3104
1020.0,0.3106
1010.0,0.3107
1000.0,0.3107
990.0,0.3107
980.0,0.3108
970.0,0.3110
960.0,0.3111
950.0,0.3111
940.0,0.3113
930.0,0.3115
920.0,0.3112
910.0,0.3113
900.0,0.3117
890.0,0.3114
880.0,0.3108
870.0,0.3097
860.0,0.3135
850.0,0.3164
840.0,0.3153
830.0,0.3159
820.0,0.3163
810.0,0.3172
800.0,0.3177
790.0,0.3179
780.0,0.3185
770.0,0.3189
760.0,0.3191
750.0,0.3196
740.0,0.3202
730.0,0.3209
720.0,0.3216
710.0,0.3224
700.0,0.3233
690.0,0.3243
680.0,0.3254
670.0,0.3259
660.0,0.3261
650.0,0.3269
640.0,0.3280
630.0,0.3289
620.0,0.3297
610.0,0.3305
600.0,0.3314
590.0,0.3322
580.0,0.3333
570.0,0.3344
560.0,0.3353
550.0,0.3361
540.0,0.3370
530.0,0.3385
520.0,0.3403
510.0,0.3420
500.0,0.3436
490.0,0.3453
480.0,0.3474
470.0,0.3498
460.0,0.3524
450.0,0.3552
440.0,0.3579
430.0,0.3617
420.0,0.3717
410.0,0.3865
400.0,0.3915
390.0,0.3866
380.0,0.3832
370.0,0.3827
360.0,0.4090
350.0,0.4778
340.0,0.5739
330.0,0.6776
320.0,0.8596
310.0,1.1625
300.0,1.3210
290.0,1.3207
280.0,1.3180
270.0,1.3200
260.0,1.2851
250.0,1.2382
